openssl 3.0.7-2
openvpn 2.6.0-1
opus 1.3.1-3
orc 0.4.33-1
os-prober 1.81-1
osinfo-db 20221130-1
p11-kit 0.24.1-1
pacman 6.0.2-5
pacman-contrib 1.8.2-1
pacman-mirrorlist 20221204-1
pahole 1:1.24+r29+g02d67c5-1
pam 1.5.2-1
pambase 20221020-1
pango 1:1.50.12-1
pangomm 2.46.3-1
parted 3.5-1
patch 2.7.6-9
pciutils 3.9.0-2
pcre 8.45-3
pcre2 10.42-2
pcsc-perl 1.4.14-13
pcsc-tools 1.6.0-1
pcsclite 1.9.9-2
perl 5.36.0-3
perl-archive-cpio 0.10-7
perl-archive-zip 1.68-7
perl-clone 0.46-1
perl-encode-locale 1.05-10
perl-error 0.17029-4
perl-file-listing 6.15-2
perl-html-parser 3.81-1
perl-html-tagset 3.20-13
perl-http-cookies 6.10-3
perl-http-daemon 6.14-2
perl-http-date 6.05-6
perl-http-message 6.44-1
perl-http-negotiate 6.01-11
perl-io-html 1.004-3
perl-json 4.10-1
perl-libwww 6.67-1
perl-lwp-mediatypes 6.04-3
perl-mailtools 2.21-6
perl-mime-charset 1.013.1-1
perl-net-http 6.22-2
perl-net-ssleay 1.92-2
perl-parse-yapp 1.21-5
perl-pod-parser 1.65-1
perl-sub-override 0.09-4
perl-timedate 2.33-4
perl-try-tiny 0.31-2
perl-unicode-linebreak 2019.001-5
perl-uri 5.17-1
perl-www-robotrules 6.02-11
perl-xml-parser 2.46-4
perl-yaml-tiny 1.73-6
php 8.2.3-1
php-apache 8.2.3-1
phpmyadmin 5.2.1-1
pinentry 1.2.1-1
pipewire 1:0.3.65-6
pipewire-audio 1:0.3.65-6
pipewire-pulse 1:0.3.65-6
pixman 0.42.2-1
pkcs11-helper 1.29.0-2
pkgconf 1.8.0-1
playerctl 2.4.1-3
plocate 1.1.18-1
po4a 0.68-1
polenum 19.6fb4e3b-1
polkit 122-1
polkit-qt5 0.114.0-1
polybar 3.6.3-3
poppler 23.02.0-1
poppler-data 0.4.12-1
poppler-glib 23.02.0-1
popt 1.19-1
portaudio 1:19.7.0-1
postgresql-libs 15.1-3
procps-ng 3.3.17-1
psmisc 23.6-1
pulsemixer 1.5.1-3
pyqt4-common 4.12.3-11
python 3.10.9-1
python-anytree 2.8.0-5
python-appdirs 1.4.4-7
python-attrs 22.2.0-1
python-autocommand 2.2.2-1
python-beautifulsoup4 4.11.2-1
python-bitstring 3.1.9-3
python-cairo 1.23.0-3
python-cffi 1.15.1-1
python-chardet 5.1.0-1
python-click 8.1.3-1
python-configobj 5.0.6.r110.g3e2f4cc-3
python-cryptography 39.0.1-1
python-distutils-extra 2.39-10
python-docopt 0.6.2-11
python-ecdsa 0.18.0-1
python-fastjsonschema 2.16.2-1
python-flask 2.2.2-1
python-gobject 3.42.2-1
python-html2text 2020.1.16-7
python-httplib2 0.21.0-3
python-idna 3.4-1
python-inflect 6.0.2-1
python-itsdangerous 2.1.2-2
python-jaraco.context 4.3.0-1
python-jaraco.functools 3.5.2-1
python-jaraco.text 3.11.1-1
python-jinja 1:3.1.2-2
python-ldap3 2.9.1-3
python-lxml 4.9.2-1
python-mako 1.2.4-1
python-markdown 3.4.1-2
python-markupsafe 2.1.2-1
python-more-itertools 9.0.0-1
python-numpy 1.24.1-1
python-ordered-set 4.1.0-1
python-packaging 23.0-1
python-pcapy 1.0.5-1
python-pillow 9.4.0-2
python-pip 23.0-1
python-platformdirs 2.6.2-1
python-ply 3.11-10
python-psutil 5.9.4-1
python-pyaes 1.6.1-9
python-pyasn1 0.4.8-7
python-pycparser 2.21-3
python-pycryptodome 3.17.0-1
python-pycryptodomex 3.12.0-1
python-pycurl 7.45.2-1
python-pydantic 1.10.4-1
python-pygments 2.14.0-2
python-pyinotify 0.9.6-11
python-pyopenssl 23.0.0-1
python-pyparsing 3.0.9-1
python-pyqt5 5.15.9-1
python-pyqt5-sip 12.11.1-1
python-pyqt5-webengine 5.15.6-1
python-pyserial 3.5-4
python-pyxdg 0.28-1
python-reedsolo 1.7.0-1
python-requests 2.28.1-1
python-ruamel-yaml 0.17.21-1
python-ruamel.yaml.clib 0.2.7-1
python-setuptools 1:67.3.0-1
python-six 1.16.0-6
python-soupsieve 2.4-1
python-toml 0.10.2-8
python-tomli 2.0.1-1
python-trove-classifiers 2023.2.8-1
python-typing_extensions 4.5.0-1
python-urllib3 1.26.12-1
python-validate-pyproject 0.12.1-1
python-werkzeug 2.2.3-1
python-wheel 0.38.4-1
python-xlib 0.31-4
python2 2.7.18-7
python2-numpy 1.16.6-3
python2-pyqt4 4.12.3-11
python2-sip-pyqt4 4.19.24-2
qca-qt5 2.3.5-2
qemu-audio-alsa 7.2.0-3
qemu-audio-dbus 7.2.0-3
qemu-audio-jack 7.2.0-3
qemu-audio-oss 7.2.0-3
qemu-audio-pa 7.2.0-3
qemu-audio-sdl 7.2.0-3
qemu-audio-spice 7.2.0-3
qemu-block-curl 7.2.0-3
qemu-block-dmg 7.2.0-3
qemu-block-gluster 7.2.0-3
qemu-block-iscsi 7.2.0-3
qemu-block-nfs 7.2.0-3
qemu-block-ssh 7.2.0-3
qemu-chardev-baum 7.2.0-3
qemu-chardev-spice 7.2.0-3
qemu-common 7.2.0-3
qemu-docs 7.2.0-3
qemu-full 7.2.0-3
qemu-hw-display-qxl 7.2.0-3
qemu-hw-display-virtio-gpu 7.2.0-3
qemu-hw-display-virtio-gpu-gl 7.2.0-3
qemu-hw-display-virtio-gpu-pci 7.2.0-3
qemu-hw-display-virtio-gpu-pci-gl 7.2.0-3
qemu-hw-display-virtio-vga 7.2.0-3
qemu-hw-display-virtio-vga-gl 7.2.0-3
qemu-hw-s390x-virtio-gpu-ccw 7.2.0-3
qemu-hw-usb-host 7.2.0-3
qemu-hw-usb-redirect 7.2.0-3
qemu-hw-usb-smartcard 7.2.0-3
qemu-img 7.2.0-3
qemu-pr-helper 7.2.0-3
qemu-system-aarch64 7.2.0-3
qemu-system-alpha 7.2.0-3
qemu-system-alpha-firmware 7.2.0-3
qemu-system-arm 7.2.0-3
qemu-system-arm-firmware 7.2.0-3
qemu-system-avr 7.2.0-3
qemu-system-cris 7.2.0-3
qemu-system-hppa 7.2.0-3
qemu-system-hppa-firmware 7.2.0-3
qemu-system-loongarch64 7.2.0-3
qemu-system-m68k 7.2.0-3
qemu-system-microblaze 7.2.0-3
qemu-system-microblaze-firmware 7.2.0-3
qemu-system-mips 7.2.0-3
qemu-system-nios2 7.2.0-3
qemu-system-or1k 7.2.0-3
qemu-system-ppc 7.2.0-3
qemu-system-ppc-firmware 7.2.0-3
qemu-system-riscv 7.2.0-3
qemu-system-riscv-firmware 7.2.0-3
qemu-system-rx 7.2.0-3
qemu-system-s390x 7.2.0-3
qemu-system-s390x-firmware 7.2.0-3
qemu-system-sh4 7.2.0-3
qemu-system-sparc 7.2.0-3
qemu-system-sparc-firmware 7.2.0-3
qemu-system-tricore 7.2.0-3
qemu-system-x86 7.2.0-3
qemu-system-x86-firmware 7.2.0-3
qemu-system-xtensa 7.2.0-3
qemu-tests 7.2.0-3
qemu-tools 7.2.0-3
qemu-ui-curses 7.2.0-3
qemu-ui-dbus 7.2.0-3
qemu-ui-egl-headless 7.2.0-3
qemu-ui-gtk 7.2.0-3
qemu-ui-opengl 7.2.0-3
qemu-ui-sdl 7.2.0-3
qemu-ui-spice-app 7.2.0-3
